AccSubGroupID,AccMainGroupID,SubGroupName,Created
1,1,Share Capital A/c,
2,1,Reserves & Surplus,
3,1,Share Application Money A/c,
4,2,Bank OO A/c,
5,2,Unsecured Loan,
6,3,Duties & Taxes,
7,3,Provisions,
8,3,Sundry Creditors (RM Purchase),
9,3,Sundry Creditors (Other),
10,5,Furniture A/c,
11,5,Plant & Machinery A/c (Old),
12,5,Lab Instruments,
13,5,Plant & Machinery A/c (New),
14,5,Vehicle A/c (N),
15,5,Building A/c,
16,5,Computer A/c,
17,5,Fire Safety Equipments,
18,5,Land Purchase A/c,
19,5,New Construction of Building,
20,5,New Electric Instalation,
21,5,R & D Capital Purchase,
22,6,Closing Stock,
23,6,Deposits (Assets),
24,6,Loans & Advances (Asset),
25,6,Sundry Debtors,
26,6,Cash-in-Hand,
27,6,Bank Accounts,
