CarColorID,CarColorName,Created,Modified,CreatedBy,ModifiedBy
1,WHITE,,,,
2,BLUE,,,,
3,RED,,,,
4,SILVER,,,,
5,GRAY,,,,
6,YELLOW,,,,
7,GREEN,,,,
8,ORANGE,,,,
10006,UNKNOWN,,,,
10007,BLACK,,,,
10008,MAROON,,,,
10009,PURPLE,,,,
10010,BROWN,,,,
10011,GOLDEN,,,,
10012,PINK,,,,
10013,WOODLAND BROWN,,,,
10014,COFFEE,,,,
10015,CANDY WHITE LB9A/B4,,,,
10016,MIDNIGHT BLACK METALLIC 589,,,,
10017,LUNAR WHITE (SAW)-HYUNDAI,,,,
10018,CARBON STEEL GREY-METALIC (LA9W) VW,,,,
10019,PALLADIUM SILVER ( 792 ) ( MERCEDES-BENZ ),,,,
10020,FLASH RED ( D8/P3G ) ( VW ),,,,
10021,ONYX BLACK ( 717 ) ( VOLVO ),,,,
10022,TRIBECA BLUE ( 2515 )  ( RANG ROVER ),,,,
10023,PASSION RED PEARL (X2R),,,,
20023,TYPHOON SILVER T2X,,,,
20024,TYPHOON SILVER METALIC (T2X) ( HYUNDAI ),,,,
20025,PRIME CELESTIAL BLUE,,,,
