CheckListCollectionID,CollectionName,CheckListItemID,IsActive,Remark,Created,PreparedBy
276,PMS CHECK LIST,3,1,,2022-07-16 15:14:02.323000,1
277,PMS CHECK LIST,4,1,,2022-07-16 15:14:02.327000,1
279,PMS CHECK LIST,2,1,,2022-07-16 15:14:02.330000,1
280,PMS CHECK LIST,76,1,,2022-07-16 15:14:02.357000,1
281,PMS CHECK LIST,66,1,,2022-07-16 15:14:02.380000,1
282,PMS CHECK LIST,17,1,,2022-07-16 15:14:02.387000,1
284,PMS CHECK LIST,65,1,,2022-07-16 15:14:02.390000,1
369,GENERAL REPAIR CHECK LIST,12,1,,2022-07-16 17:20:31.050000,1
370,GENERAL REPAIR CHECK LIST,28,1,,2022-07-16 17:20:32.860000,1
371,GENERAL REPAIR CHECK LIST,13,1,,2022-07-16 17:20:34.957000,1
372,GENERAL REPAIR CHECK LIST,4,1,,2022-07-16 17:21:29.633000,1
373,GENERAL REPAIR CHECK LIST,3,1,,2022-07-16 17:21:29.633000,1
374,GENERAL REPAIR CHECK LIST,76,1,,2022-07-16 17:21:29.633000,1
375,GENERAL REPAIR CHECK LIST,6,1,,2022-07-16 17:21:29.637000,1
377,GENERAL REPAIR CHECK LIST,2,1,,2022-07-16 17:21:29.637000,1
378,GENERAL REPAIR CHECK LIST,66,1,,2022-07-16 17:21:29.680000,1
379,GENERAL REPAIR CHECK LIST,65,1,,2022-07-16 17:21:29.687000,1
380,GENERAL REPAIR CHECK LIST,67,1,,2022-07-16 17:21:29.693000,1
382,GENERAL REPAIR CHECK LIST,56,1,,2022-07-16 17:21:29.693000,1
381,GENERAL REPAIR CHECK LIST,17,1,,2022-07-16 17:21:29.693000,1
389,GENERAL REPAIR CHECK LIST,71,1,,2022-07-16 17:21:29.753000,1
390,GENERAL REPAIR CHECK LIST,53,1,,2022-07-16 17:21:29.777000,1
391,GENERAL REPAIR CHECK LIST,31,1,,2022-07-16 17:21:29.780000,1
392,GENERAL REPAIR CHECK LIST,58,1,,2022-07-16 17:21:29.790000,1
393,GENERAL REPAIR CHECK LIST,8,1,,2022-07-16 17:21:29.797000,1
285,PMS CHECK LIST,57,1,,2022-07-16 15:14:02.390000,1
286,PMS CHECK LIST,67,1,,2022-07-16 15:14:02.413000,1
287,PMS CHECK LIST,13,1,,2022-07-16 15:14:02.440000,1
171,TYRE CHECK LIST,40,1,,2022-07-14 16:16:03.290000,1
174,TYRE CHECK LIST,41,1,,2022-07-14 16:16:07.523000,1
175,TYRE CHECK LIST,38,1,,2022-07-14 16:16:09.930000,1
394,GENERAL REPAIR CHECK LIST,19,1,,2022-07-16 17:21:29.800000,1
182,TYRE CHECK LIST,49,1,,2022-07-14 16:16:54.153000,1
