InvGroupID,InvGroupName,Remark,Created
1,AIR CONDITIONER,,
2,FILTERATION,,
3,CLUTCH,,
10003,BRAKE,,
10004,SUSPENSION,,
10005,PMS,,
10006,BODY PARTS,,
10007,WHEELS & TYRES,,
10008,VA CONSUMABLE,,
10009,QCARE,,
10010,WIPING SYSTEM,,
10011,STEERING SYSTEM,,
10012,ENGINE COOLING,,
10013,ELECTRICAL,,
10014,LUBRICANT,,
10015,"ADHESIVE, SPRAY, CLEANER",,
10016,ACCESSORIES,,
10017,ENGINE,,
10018,TREATMENT,,
10019,CAR CARE,,
10020,IGNITION,,
10021,TRANSMISSION,,
10022,PAINTING SERVICE,,
10023,PAINTING CONSUMABLE,,
10024,MISC,,
10025,LATHE WORK,,
10026,FUEL SYSTEM,,
10027,PICKUP & DROP,,
10028,UPHOLSTERY,,
10029,TIMING,,
10030,FLOOR CONSUMABLE,,
10031,SCANNING SERVICE,,
10032,AIRBAG,,
10033,GENERAL SERVICE,,
10034,FLOOR TOOLS,,2025-06-06 10:43:55.360000
