InvSubGroupID,InvGroupID,InvSubGroupName,Remark,DailyReportOrder,Created
1,1,O-RING,,,
2,10021,GEAR LEVER,,,
3,10017,CRANKSHAFT PULLEY,,,
4,10003,BRAKE PAD,,,
5,10005,ROUTINE SERVICE,,1,
6,10006,BUMPER,,,
7,2,OIL FILTER,,,
8,2,DIESEL FILTER,,,
9,2,PETROL FILTER,,,
10,10007,TYRE,,,
11,10008,BODYSHOP TOOLS,,,
12,10017,DRAIN COKE,,,
13,10017,VALVE SEAL,,,
14,10020,PLUG WIRE,,,
15,10017,CAMSHAFT,,,
16,10019,FULL BODY POLISH,,10,
17,10004,KAMAN CENTRE BOLT,,,
18,10019,GLASS TREATMENT,,12,
19,10007,WHEEL ALIGNMENT,,14,
20,10007,WHEEL BALANCING,,15,
21,10007,BALANCING WEIGHT,,,
22,3,CLUTCH CYLINDER,,,
23,3,CLUTCH SET,,,
24,3,CLUTCH CABLE,,,
25,3,CLUTCH BEARING,,,
26,3,CLUTCH OVERHAUL,,,
27,10014,OIL CHANGE,,,
28,10003,BRAKE SENSOR,,,
29,10003,ABS SENSOR,,,
30,10006,WINDSHIELD GLASS,,,
31,10006,BUMPER BRACKET,,,
32,10007,PUNCTURE RPEAIR,,16,
33,10010,SHAMPOO,,,
34,10010,WIPER BLADE,,,
35,10004,STRUT,,,
36,10004,STRUT MOUNT,,,
37,10004,STRUT KIT,,,
39,10004,SHOCKER BALLOON,,,
40,10004,LOWER ARM,,,
41,10011,STEERING BALL JOINT,,,
42,10011,TIE ROD END,,,
43,10004,SUSP BALL JOINT,,,
44,10004,B.R. BUSH,,,
45,10004,STABILIZER LINK,,,
46,10011,STEERING,,,
47,10011,STEERING RACK,,,
48,10011,STEERING PUMP,,,
49,10003,BRAKE DISC ROTOR,,,
50,10003,BRAKE BOOSTER,,,
51,10003,MASTER CYLINDER,,,
52,10003,BRAKE LINER,,,
53,10003,WHEEL CYLINDER,,,
54,10003,HAND BRAKE CABLE,,,
55,3,CLUTCH PLATE(DISC),,,
56,3,CLUTCH PRESSURE PLATE(COVER),,,
57,1,AC COOLING COIL,,,
58,1,AC CONDENSER,,,
60,1,AC GAS,,,
61,1,AC COMPRESSOR OIL,,,
62,10012,RADIATOR,,,
63,10012,COOLANT,,,
64,10012,D.M. WATER,,,
65,10012,RADIATOR HOSE,,,
66,10012,HOSE CLIP,,,
67,10012,ELBOW,,,
68,10006,BONET,,,
69,10006,FENDER,,,
70,10006,DOOR,,,
71,10006,QTR PANEL,,,
72,10006,RUNING BORDER,,,
73,10006,BONET LATCH,,,
74,10006,BONET HINGES,,,
75,10006,TAILGATE LIFTER,,,
76,10006,DOOR HANDLE,,,
77,10006,DOOR LATCH,,,
78,10006,APRON,,,
79,10006,GLASS MOULDING,,,
80,10015,GLASS SEALENT,,,
81,10006,DOOR MOULDING,,,
82,10013,TAILGATE LATCH,,,
83,10013,HEAD LIGHT,,,
84,10013,TAIL LIGHT,,,
85,10006,DOOR MIRROR,,,
86,10013,FOG LIGHT,,,
87,10013,FENDER LIGHT,,,
88,10013,TAILGATE LIGHT,,,
89,10029,TIMING KIT,,,
90,10013,BULB,,,
91,10013,ECM,,,
92,10013,BATTERY,,,
93,10013,BATTERY TERMINAL,,,
94,10016,FOOT MAT,,,
95,10013,REMOTE CELL,,,
96,10016,BODY COVER,,,
97,10016,IDOL,,,
98,10010,WIPER LINK,,,
99,10016,AIR FRESHNER,,,
100,10006,FOG LIGHT BEZEL,,,
101,10015,BODY SEALENT,,,
102,10015,RUST OFF,,,
103,10015,EC CLEAN,,,
104,10015,PLATIC & RUBBER CARE,,,
105,10016,VINYL SHEET,,,
106,10008,FLOOR TOOLS,,,
107,10014,ENGINE OIL SYNTHETIC,,,
108,10014,ENGINE OIL MINERAL,,,
109,10014,GEAR OIL SYNTHETIC,,,
110,10014,GEAR OIL MINERAL,,,
111,10003,BRAKE PIPE,,,
112,10014,ATF OIL,,,
113,10004,LOWER ARM BUSH,,,
114,2,AIR FILTER,,,
115,10006,NBSW,,,
116,10003,WHEEL BEARING,,,
117,10018,FUEL ADDITIVE,,,
118,10006,SPOILER O/F,,,
119,10018,ENGINE FLUSH,,,
120,10031,DIAGNOSTICS,,17,
121,10026,INJECTOR SERVICE,,,
122,10021,SYNCHRONIZER,,,
123,10021,SYNCHRONIZER BEARING,,,
124,10007,TYRE ROTATION,,,
125,10030,NITROGEN GAS,,,
126,1,AC ACTUATOR,,,
127,10011,STEERING PIPE,,,
128,2,K&N FILTER,,,
129,10033,GENERAL CHECK UP,,,
130,10010,WIPER BOTTLE,,,
131,10019,WAX POLISH,,4,
132,10019,INTERIOR CLEANING,,5,
133,10019,UNDER BODY COATING,,,
134,10019,AIRCO CLEANING,,,
135,10019,AC TREATMENT,,,
136,10019,WHEEL CLEAN,,,
137,10019,COWL CLEAN,,,
138,1,AC SERVICE,,13,
139,1,LEAK TEST,,,
140,10006,BUMPER GARNISH,,,
141,1,AC COMPRESSOR,,,
142,10012,HOSE PIPE,,,
143,10012,THERMOSTATE VALVE,,,
144,10013,HORN,,,
145,10013,SPIRAL CABLE,,,
146,10013,COMBINATION SWITCH,,,
147,10013,STARTER,,,
148,10013,ALTERNATOR,,,
149,10017,DIESEL FILTER SENSOR,,,
150,10020,SPARK PLUG,,,
151,10020,IGNITION COIL,,,
152,10003,BRAKE O/H,,,
153,10026,FUEL TANK LID,,,
154,10017,CONNECTING ROD,,,
155,10003,BRAKE LINER LOCK,,,
156,10003,BRAKE AIR DUCT,,,
157,10017,CARBURATOR,,,
158,10003,MASTER CYLINDER O/F,,,
159,10003,ABS,,,
160,10003,BRAKE CALIPER,,,
161,10006,DOOR LOCK CABLE,,,
162,10021,GEAR BOX,,,
163,10021,AXLE,,,
164,10011,KNUCKLE,,,
165,10004,SUSPENSION O/H,,,
166,10004,SHOCK AB,,,
167,10011,STEERING COLUMN,,,
168,10017,CRANKSHAFT,,,
169,10011,STEERING O/H,,,
170,10011,STEERING RACK O/F,,,
171,10006,BUMPER PROTECTOR,,,
172,10017,HEAD O/F,,,
173,10017,ENGINE O/H,,,
174,10017,ENGINE O/F,,,
175,10017,OIL CHAMBER,,,
176,10029,TIMING O/H,,,
177,10006,WHEEL HOUSING REPAIR,,,
178,10022,DOOR PAINT,,,
179,10008,FLOOR CONSUMABLES,,,
180,10023,COLOURS,,,
181,10023,THINNERS,,,
182,10023,HARDENERS,,,
183,10023,PUTTIES,,,
184,10023,PAPERS,,,
185,10007,TUBELESS VALVE,,,
186,10006,FENDER LINING,,,
187,10006,ROOF LINING,,,
188,10006,BUMPER SKIRT,,,
189,3,FLY WHEEL BEARING,,,
190,3,FLY WHEEL,,,
191,10006,EMBLEM,,,
192,10023,PRIMER,,,
193,10015,TERMINAL CLEANER,,,
194,10015,CARBURATOR CLEANER,,,
195,10015,SYNTHETIC LUBRICANT,,,
196,10004,PVC CLIP,,,
197,10025,BRAKE DISC PRESSING,,,
198,10025,BUSH PRESSING,,,
199,10025,CALIPER PRESS,,,
200,10025,WHEEL DRUM PRESS,,,
201,10028,MATTING LAMINATION,,,
202,10007,WHEEL RIM STRAIGHTING,,,
203,10013,RELAY,,,
204,10004,STRUT BEARING,,,
205,2,FILTER HOUSING,,,
206,10006,DASHBOARD O/F,,,
207,10006,CROSS MEMBER REPAIR,,,
209,10017,BELT TENSIONER,,,
210,10017,FAN BELT,,,
211,10018,AIRCO CLEAN,,,
212,10018,INJECTOR CLEANER,,,
213,10015,BRAKE CLEANER,,,
214,10015,THROTTLE BODY CLEANER,,,
215,10012,WATER PUMP,,,
216,10017,SILENCER,,,
217,2,CABIN FILTER,,,
218,10003,WHEEL STUD/NUT,,,
219,10003,BRAKE OIL BLEEDING,,,
220,10017,BATTERY ROD,,,
221,10006,SHOW GRILLE,,,
222,10006,BONET GARNISH,,,
223,10016,FOOT REST,,,
224,10017,ACCELERATOR CABLE,,,
225,10017,ACCELERATOR PEDAL,,,
226,10003,BRAKE OIL,,,
227,10013,WIRING REPAIR,,,
10220,10017,IDLER BEARING,,,
10221,10025,AC COMPRESSOR CLUTCH PRESS,,,
10222,10025,BEARING PRESSING,,,
10223,10013,LOCK SYSTEM REPAIR,,,
10224,10025,OIL CHAMBER PRESSING,,,
10225,10017,CONNECTING BEARING,,,
10226,10013,WIRE,,,
10227,10007,WHEEL RIM WELDING,,,
10228,10006,FENDER SKIRT,,,
10229,10023,CLEAR,,,
10230,10012,COOLANT TANK CAP,,,
10231,10006,TIE MEMBER,,,
10232,10017,ENGINE MOUNTING,,,
10233,10006,BUMPER RAIL,,,
10234,1,AC BLOWER,,,
10235,1,AC RECEIVER DRIER,,,
10236,10004,JUMPER BUFFER,,,
10237,10012,ELBOW PKG,,,
10238,10006,SUB MIRROR PLATE,,,
10239,10026,FUEL PUMP SENSOR,,,
10240,10026,FUEL TANK,,,
10241,10026,FUEL PUMP,,,
10242,10006,DOOR GLASS,,,
10243,10030,PUNCTURE PATCH,,,
10244,10006,BUMPER REFLECTOR,,,
10245,10010,WIPER MOTOR,,,
10246,10010,WIPER PIPE,,,
10247,10013,HORN CLIP,,,
10248,10006,ENGINE COVER,,,
10249,10004,COIL SPRING,,,
10250,10017,EGR VALVE,,,
10251,10007,WHEEL CAP,,,
10252,10021,AXLE SEAL,,,
10253,10013,FUSE,,,
10254,10023,POLISH,,,
10255,10006,NUMBER PLATE HOLDER,,,
10256,10017,FUEL GUAGE,,,
10257,10004,LOWER ARM BOLT,,,
10258,10004,KAMAN LEAF SPRING BUSH,,,
20249,10006,DOOR GARNISH,,,
20250,10016,MUD FLAP,,,
20251,10018,OIL TREATMENT,,,
20252,10016,ANTENA,,,
20253,10006,GLOVE BOX,,,
20254,10027,TOWING SERVICE,,,
20255,10007,WHEEL RIM,,,
20256,10026,FUEL PIPE,,,
20257,10006,CROSS MEMBER,,,
20258,10018,GEAR OIL TREATMENT,,,
20259,10012,COOLANT TANK,,,
20260,10012,COOLANT PIPE,,,
20261,10016,CAR WIPES,,,
20262,10016,DASH MAT,,,
20263,10016,AUX CABLE,,,
20264,10016,GLASS CLELANER,,,
20265,10016,VACUUM CLEANER,,,
20266,10016,TYRE INFLATOR,,,
20267,10016,MOBILE CHARGER,,,
20268,10016,SUN VISOR,,,
20269,10016,WINDOW CURTAIN,,,
20270,10016,CAR DUSTER,,,
20271,10016,ALLOY STUD/NUT,,,
20272,10016,MICROFIBRE CLOTH,,,
20273,10016,CAR TOOLS,,,
20274,10025,FLY WHEEL PRESSING,,,
20275,10008,SEAT COVER,,,
20276,10025,HEAD REPOWERING,,,
20277,10016,MUSIC PLAYER,,,
20278,1,AC PIPE,,,
20279,10016,CYCLE STAND,,,
20280,10013,POWER WINDOW SWITCH,,,
20281,10012,RADIATOR FAN,,,
20282,10006,CARPET O/F,,,
20283,10008,ACCESSORIES STAND,,,
20284,10025,TENSIONER PRESSING,,,
20285,10006,TAILGATE SPOILER,,,
