JCReasonID,JCReason,Created
1,Created Twice,2018-01-09 12:11:38.107000
2,Spare Not Available,2018-06-30 11:23:46.570000
3,High Estimate,2018-06-30 11:24:03.760000
4,Estimate Delay,2018-06-30 11:24:20.890000
5,No satisfaction,2018-06-30 11:24:33.603000
6,No Resolution,2018-06-30 11:24:46.090000
7,Minor Work,2018-07-10 12:31:50.490000
8,No Problem,2018-07-10 12:32:36.770000
9,Warranty,2018-07-21 11:23:38.797000
10,No Reply,2018-07-31 19:30:13.540000
11,Car Sold,2018-07-31 19:57:24.283000
12,No Claim,2018-08-10 17:06:24.667000
13,No Time (Busy),2018-08-13 17:07:18.093000
14,Not Interested,2018-08-21 10:57:58.210000
15,No Cashless,2018-08-30 12:39:02.943000
16,Repeat Job,2018-09-13 18:03:05.790000
17,Service Transfer,2018-10-21 12:40:25.390000
18,Damage,2019-02-21 18:24:35.190000
19,Spares Delay,2020-06-15 15:29:41.123000
20,Next time,2020-08-31 18:22:28.353000
21,Service delay,2021-07-15 13:55:39.227000
22,No Service Due,2021-08-09 15:10:10.577000
23,Ins. less assessment,2021-09-25 13:59:19.077000
24,AMC Scheme,2022-03-25 11:48:56.353000
25,Ins. Total Loss Cover,2023-07-26 08:58:44.323000
26,Order Cancelled,2023-07-31 18:46:37.250000
27,High Risk,2023-10-19 17:58:21.800000
28,Software Testing,2024-05-27 15:57:19.947000
29,Service Overload,2024-07-20 09:54:33.187000
30,FOC,2026-01-10 14:29:19.857000
31,FY Chanage,2026-04-09 11:49:19.297000
32,Wrong Diagnosis,2026-04-27 10:38:45.043000
33,Budget Issue,2026-05-17 11:03:10.773000
34,Insurance Not Covered,2026-05-17 11:03:44.460000
35,Technician on Leave,2026-06-30 14:05:29.453000
