LabourName,HSNACSNo,OutSideLabour,Rate,Remarks,Service,Vat,AVat,InvGroupName,InvSubGroupName,LabourDesc,TotalAmount,LabourName1,MainDepartmentName
360° CAMERA FITTING,998729,1,5245.76,,9,9,0,ACCESSORIES,CAMERA FITTING,SEG-SUV,6190,360° CAMERA FITTING - SEG-SUV,Accessories
A PILLER GARNISH O/F,998729,1,1000,,9,9,0,BODY PARTS,BODY PILLAR REPAIR,,1180,A PILLER GARNISH O/F - ,Bodyshop
A/C OVERHAUL ,998729,0,8627.12,,9,9,0,AIR CONDITIONER,AC SERVICE,SEG-P3,10180,A/C OVERHAUL  - SEG-P3,Mechanical
ABS CODING,998729,1,1220.34,,9,9,0,SCANNING SERVICE,CODING,SEG-B,1440,ABS CODING - SEG-B,Mechanical
ABS CODING,998729,0,1466.1,,9,9,0,SCANNING SERVICE,CODING,SEG-C,1730,ABS CODING - SEG-C,Mechanical
ABS CODING,998729,0,1220.34,,9,9,0,SCANNING SERVICE,CODING,SEG-A,1440,ABS CODING - SEG-A,Mechanical
ABS CODING,998729,0,1830.51,,9,9,0,SCANNING SERVICE,CODING,SEG-D,2160,ABS CODING - SEG-D,Mechanical
ABS CODING,998729,0,1525.42,,9,9,0,SCANNING SERVICE,CODING,SEG-E,1800,ABS CODING - SEG-E,Mechanical
ABS CODING,998729,0,1830.51,,9,9,0,SCANNING SERVICE,CODING,SEG-F,2160,ABS CODING - SEG-F,Mechanical
ABS CODING,998729,0,2440.68,,9,9,0,SCANNING SERVICE,CODING,SEG-P1,2880,ABS CODING - SEG-P1,Mechanical
ABS CODING,998729,0,2440.68,,9,9,0,SCANNING SERVICE,CODING,SEG-P2,2880,ABS CODING - SEG-P2,Mechanical
ABS CODING,998729,0,2440.68,,9,9,0,SCANNING SERVICE,CODING,SEG-P3,2880,ABS CODING - SEG-P3,Mechanical
ABS CODING,998729,0,2440.68,,9,9,0,SCANNING SERVICE,CODING,SEG-P4,2880,ABS CODING - SEG-P4,Mechanical
ABS MODULE CALIBRATION,998729,0,7194.92,,9,9,0,SCANNING SERVICE,CALIBRATION,SEG-P2,8490,ABS MODULE CALIBRATION - SEG-P2,Mechanical
ABS MODULE O/F,998729,1,1440.68,,9,9,0,BRAKE,ABS MODULE O/F,,1700,ABS MODULE O/F - ,Mechanical
ABS MODULE REPAIR,998729,0,5033.9,,9,9,0,BRAKE,ABS REPAIR,SEG-C,5940,ABS MODULE REPAIR - SEG-C,Mechanical
ABS SENSOR WIRING,998729,0,152.54,,9,9,0,BRAKE,ABS REPAIR,,180,ABS SENSOR WIRING - ,Mechanical
ABS UNIT O/F,998729,0,1466.1,,9,9,0,BRAKE,ABS UNIT O/F,SEG-E,1730,ABS UNIT O/F - SEG-E,Mechanical
ABS UNIT O/F,998729,0,8525.42,,9,9,0,BRAKE,ABS UNIT O/F,SEG-P4,10060,ABS UNIT O/F - SEG-P4,Mechanical
ABS UNIT O/F,998729,0,1220.34,,9,9,0,BRAKE,ABS UNIT O/F,SEG-A,1440,ABS UNIT O/F - SEG-A,Mechanical
ABS UNIT O/F,998729,0,1220.34,,9,9,0,BRAKE,ABS UNIT O/F,SEG-B,1440,ABS UNIT O/F - SEG-B,Mechanical
ABS UNIT O/F,998729,0,1466.1,,9,9,0,BRAKE,ABS UNIT O/F,SEG-C,1730,ABS UNIT O/F - SEG-C,Mechanical
ABS UNIT O/F,998729,0,1466.1,,9,9,0,BRAKE,ABS UNIT O/F,SEG-D,1730,ABS UNIT O/F - SEG-D,Mechanical
ABS UNIT O/F,998729,0,1949.15,,9,9,0,BRAKE,ABS UNIT O/F,SEG-F,2300,ABS UNIT O/F - SEG-F,Mechanical
ABS UNIT O/F,998729,0,4872.88,,9,9,0,BRAKE,ABS UNIT O/F,SEG-P1,5750,ABS UNIT O/F - SEG-P1,Mechanical
ABS UNIT O/F,998729,0,6093.22,,9,9,0,BRAKE,ABS UNIT O/F,SEG-P2,7190,ABS UNIT O/F - SEG-P2,Mechanical
ABS UNIT O/F,998729,0,7313.56,,9,9,0,BRAKE,ABS UNIT O/F,SEG-P3,8630,ABS UNIT O/F - SEG-P3,Mechanical
ABS WIRING REPAIR,998729,0,372.88,,9,9,0,ELECTRICAL,WIRING REPAIR,SEG-B,440,ABS WIRING REPAIR - SEG-B,Mechanical
AC BLOWER MOTOR O/F,998729,0,1220.34,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-B,1440,AC BLOWER MOTOR O/F - SEG-B,Mechanical
AC BLOWER MOTOR O/F,998729,0,3050.85,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-P3,3600,AC BLOWER MOTOR O/F - SEG-P3,Mechanical
AC BLOWER MOTOR O/F,998729,0,1830.51,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-F,2160,AC BLOWER MOTOR O/F - SEG-F,Mechanical
AC BLOWER MOTOR O/F,998729,0,974.58,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-A,1150,AC BLOWER MOTOR O/F - SEG-A,Mechanical
AC BLOWER MOTOR O/F,998729,0,1466.1,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-C,1730,AC BLOWER MOTOR O/F - SEG-C,Mechanical
AC BLOWER MOTOR O/F,998729,0,1830.51,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-D,2160,AC BLOWER MOTOR O/F - SEG-D,Mechanical
AC BLOWER MOTOR O/F,998729,0,1466.1,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-E,1730,AC BLOWER MOTOR O/F - SEG-E,Mechanical
AC BLOWER MOTOR O/F,998729,0,2440.68,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-P1,2880,AC BLOWER MOTOR O/F - SEG-P1,Mechanical
AC BLOWER MOTOR O/F,998729,0,2440.68,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-P2,2880,AC BLOWER MOTOR O/F - SEG-P2,Mechanical
AC BLOWER MOTOR O/F,998729,0,3652.54,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR O/F,SEG-P4,4310,AC BLOWER MOTOR O/F - SEG-P4,Mechanical
AC BLOWER MOTOR REPAIR,998729,0,491.53,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR,SEG-P1,580,AC BLOWER MOTOR REPAIR - SEG-P1,Mechanical
AC BLOWER MOTOR REPAIR,998729,0,491.53,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR,SEG-P3,580,AC BLOWER MOTOR REPAIR - SEG-P3,Mechanical
AC BLOWER MOTOR RESISTER O/F,998729,0,1500,,9,9,0,AIR CONDITIONER,AC BLOWER RESISTER,,1770,AC BLOWER MOTOR RESISTER O/F - ,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,1042.37,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-A,1230,AC BLOWER MOTOR SERVICE - SEG-A,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,1279.66,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-B,1510,AC BLOWER MOTOR SERVICE - SEG-B,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,1525.42,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-C,1800,AC BLOWER MOTOR SERVICE - SEG-C,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,1889.83,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-D,2230,AC BLOWER MOTOR SERVICE - SEG-D,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,1525.42,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-E,1800,AC BLOWER MOTOR SERVICE - SEG-E,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,3779.66,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-P4,4460,AC BLOWER MOTOR SERVICE - SEG-P4,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,2567.8,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-P1,3030,AC BLOWER MOTOR SERVICE - SEG-P1,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,1889.83,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-F,2230,AC BLOWER MOTOR SERVICE - SEG-F,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,2567.8,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-P2,3030,AC BLOWER MOTOR SERVICE - SEG-P2,Mechanical
AC BLOWER MOTOR SERVICE,998729,0,3169.49,,9,9,0,AIR CONDITIONER,AC BLOWER MOTOR SERVICE,SEG-P3,3740,AC BLOWER MOTOR SERVICE - SEG-P3,Mechanical
AC CHAMBER CLEANING,998729,0,1364.41,,9,9,0,AIR CONDITIONER,AC BLOWER,SEG-P2,1610,AC CHAMBER CLEANING - SEG-P2,Mechanical
AC CLUTCH MAGNET O/F,998729,0,720.34,,9,9,0,AIR CONDITIONER,AC CLUTCH MAGNET,SEG-B,850,AC CLUTCH MAGNET O/F - SEG-B,Mechanical
AC COMPRESSOR BEARING O/F,998729,1,1322.03,,9,9,0,AIR CONDITIONER,COMPRESSOR BEARING,,1560,AC COMPRESSOR BEARING O/F - ,Mechanical
AC COMPRESSOR BELT O/F,998729,0,796.61,,9,9,0,ENGINE,FAN BELT O/F,SEG-E,940,AC COMPRESSOR BELT O/F - SEG-E,Mechanical
AC COMPRESSOR BELT O/F,998729,0,1703.39,,9,9,0,ENGINE,FAN BELT O/F,SEG-P4,2010,AC COMPRESSOR BELT O/F - SEG-P4,Mechanical
AC COMPRESSOR BELT O/F,998729,0,245.76,,9,9,0,ENGINE,FAN BELT O/F,SEG-A,290,AC COMPRESSOR BELT O/F - SEG-A,Mechanical
AC COMPRESSOR BELT O/F,998729,0,550.85,,9,9,0,ENGINE,FAN BELT O/F,SEG-B,650,AC COMPRESSOR BELT O/F - SEG-B,Mechanical
AC COMPRESSOR BELT O/F,998729,0,550.85,,9,9,0,ENGINE,FAN BELT O/F,SEG-C,650,AC COMPRESSOR BELT O/F - SEG-C,Mechanical
AC COMPRESSOR BELT O/F,998729,0,796.61,,9,9,0,ENGINE,FAN BELT O/F,SEG-D,940,AC COMPRESSOR BELT O/F - SEG-D,Mechanical
AC COMPRESSOR BELT O/F,998729,0,974.58,,9,9,0,ENGINE,FAN BELT O/F,SEG-F,1150,AC COMPRESSOR BELT O/F - SEG-F,Mechanical
AC COMPRESSOR BELT O/F,998729,0,1466.1,,9,9,0,ENGINE,FAN BELT O/F,SEG-P1,1730,AC COMPRESSOR BELT O/F - SEG-P1,Mechanical
AC COMPRESSOR BELT O/F,998729,0,1593.22,,9,9,0,ENGINE,FAN BELT O/F,SEG-P2,1880,AC COMPRESSOR BELT O/F - SEG-P2,Mechanical
AC COMPRESSOR BELT O/F,998729,0,1593.22,,9,9,0,ENGINE,FAN BELT O/F,SEG-P3,1880,AC COMPRESSOR BELT O/F - SEG-P3,Mechanical
AC COMPRESSOR BOLT O/F,998729,0,262.71,,9,9,0,AIR CONDITIONER,AC ACTUATOR,SEG-F,310,AC COMPRESSOR BOLT O/F - SEG-F,Mechanical
AC COMPRESSOR O/F,998729,0,0,,9,9,0,AIR CONDITIONER,AC COMPRESSOR,SEG-A,0,AC COMPRESSOR O/F - SEG-A,Mechanical
AC COMPRESSOR O/F,998729,0,0,,9,9,0,AIR CONDITIONER,AC COMPRESSOR,SEG-B,0,AC COMPRESSOR O/F - SEG-B,Mechanical
AC COMPRESSOR O/F,998729,0,0,,9,9,0,AIR CONDITIONER,AC COMPRESSOR,SEG-C,0,AC COMPRESSOR O/F - SEG-C,Mechanical
AC COMPRESSOR O/F,998729,0,0,,9,9,0,AIR CONDITIONER,AC COMPRESSOR,SEG-D,0,AC COMPRESSOR O/F - SEG-D,Mechanical
