RepairsID,RepairsName,RepairsType,Created,Modified,CreatedBy,ModifiedBy
1,PMS,Maintenance,,,,
2,Wheel Alignment,Maintenance,,,,
3,Wheel Balancing,Maintenance,,,,
4,Engine Oil Replace,Maintenance,,,,
5,Coolant Replace,Maintenance,,,,
6,Gear Oil Replace,Maintenance,,,,
7,Air Filter Check,Maintenance,,,,
8,Ceramic coating,Maintenance,,,,
9,Interior Cleaning,Maintenance,,,,
10,Paint Protection,Maintenance,,,,
11,Paint Restoration,Maintenance,,,,
12,Premium wash,Maintenance,,,,
13,Pneumatic Suspension Check,Maintenance,,,,
14,Car Wash,Maintenance,,,,
15,Scanning,Maintenance,,,,
16,DPF,Maintenance,,,,
17,Battery Replace,Maintenance,,,,
18,Tyre Replace,Maintenance,,,,
19,Brake Check,Maintenance,,,,
20,Clutch Check,Maintenance,,,,
21,Suspension Check - Fr,Maintenance,,,,
22,Suspension Check - Rr,Maintenance,,,,
23,Wheel Brg Check,Maintenance,,,,
24,Wheel Brg Check - Rr,Maintenance,,,,
25,Full Body Paint,Accidental,,,,
26,Full Body Polish,Accidental,,,,
27,Bumper Paint - Fr,Accidental,,,,
28,Hood Paint,Accidental,,,,
29,Roof Paint,Accidental,,,,
30,Door Paint - Fr Lh,Accidental,,,,
31,Door Paint - Fr Rh,Accidental,,,,
32,Fender Paint Lh,Accidental,,,,
33,Bumper Paint - Rr,Accidental,,,,
34,Door Paint - Rr Lh,Accidental,,,,
35,Door Paint - Rr Rh,Accidental,,,,
36,Fender Paint Rh,Accidental,,,,
37,AC check,Maintenance,,,,
38,General Check Up,Maintenance,,,,
39,Roof Padding,Maintenance,,,,
40,Water Leakage Check,Maintenance,,,,
41,Wiper Blade Replace,Maintenance,,,,
42,Starting Trouble,Maintenance,,,,
43,Adblue,Maintenance,,,,
44,Coolant Leakage Check,Maintenance,,,,
