VehModelID,VehCompanyID,VehicleID,VehModelName,Fuel,Transmission,Engine,Manufacturing,Remark,Created,Modified,CreatedBy,ModifiedBy
1,1,1,35 TDI,DSL,AT,1968CC,,,,,,
2,1,1,35 TDI PREMIUM +,DSL,AT,1968CC,,,,,,
3,1,1,35 TFSI,PTL,AT,1395CC,,,,,,
4,1,1,35 TFSI PREMIUM +,PTL,AT,1395CC,,,,,,
5,1,2,30 TFSI,PTL,AT,,,,,,,
6,1,2,30 TFSI PREMIUM +,PTL,AT,,,,,,,
7,1,2,35 TDI,DSL,AT,,,,,,,
8,1,2,35 TDI PREMIUM +,DSL,AT,,,,,,,
9,1,3,35 TDI MATRIX,DSL,AT,,,,,,,
10,1,3,2.0 TDI DESIGN,DSL,AT,,,,,,,
11,1,3,35 TFSI,PTL,AT,,,,,,,
12,1,3,35 TFSI MATRIX,PTL,AT,,,,,,,
13,1,3,RS6 AVANT,PTL,AT,,,,,,,
14,1,4,L 60 TDI QUATTRO,DSL,AT,,,,,,,
15,1,4,L 60 TFSI QUATTRO,PTL,AT,,,,,,,
16,1,4,L 50 TDI QYATTRO,DSL,AT,,,,,,,
17,1,4,L 50 TDI QYATTRO PREMIUM +,DSL,AT,,,,,,,
18,1,4,L W12 QUATTRO,PTL,AT,,,,,,,
19,1,4,L SECURITY,PTL,AT,,,,,,,
20,1,5,35 TDI QUATTRO,DSL,AT,,,,,,,
21,1,5,35 TDI QUATTRO PREMIUM +,DSL,AT,,,,,,,
22,1,5,30 TFSI PREMIUM FWD,PTL,AT,,,,,,,
23,1,5,30 TDI PREMIUM FWD,DSL,AT,,,,,,,
24,1,6,30 TDI PREMIUM EDITION,DSL,AT,,,,,,,
25,1,6,30 TDI DESIGN EDITION,DSL,AT,,,,,,,
26,1,6,30 TDI SPORT EDITION,DSL,AT,,,,,,,
27,1,6,45 TDI,DSL,AT,,,,,,,
28,1,7,45 TDI QUATTRO,DSL,AT,,,,,,,
29,1,7,45 TDI QUATTRO PREMIUM +,DSL,AT,,,,,,,
30,1,7,45 TDI DESIGN EDITION,DSL,AT,,,,,,,
31,1,7,40 TFSI QUATTRO PREMIUM +,PTL,AT,,,,,,,
32,1,8,V10 +,PTL,AT,,,,,,,
33,1,9,SPORTBACK,DSL,AT,,,,,,,
34,1,10,40 TFSI QUATTRO,PTL,AT,,,,,,,
35,2,11,GT,PTL,AT,,,,,,,
36,2,11,GT SPEED,PTL,AT,,,,,,,
37,2,11,FLYING SPUR  V8,PTL,AT,,,,,,,
38,2,11,FLYING SPUR  W12,PTL,AT,,,,,,,
39,2,11,GT V8,PTL,AT,,,,,,,
