VehicleID,VehCompanyID,SegmentID,VehicleName,Created,Modified,CreatedBy,ModifiedBy
1,1,6,A3,,,,
2,1,7,A4,,,,
3,1,7,A6,,,,
4,1,8,A8,,,,
5,1,6,Q3,,,,
6,1,7,Q5,,,,
7,1,8,Q7,,,,
8,1,10,R8,,,,
9,1,8,S5,,,,
10,1,7,TT,,,,
11,2,10,CONTINENTAL,,,,
12,3,6,1-SERIES,,,,
13,3,7,3-SERIES,,,,
14,3,7,5-SERIES,,,,
15,3,8,6-SERIES,,,,
16,3,8,7-SERIES,,,,
17,3,8,I8,,,,
18,3,8,M4,,,,
19,3,6,X1,,,,
20,3,7,X3,,,,
21,3,8,X5,,,,
22,3,8,X6,,,,
23,3,8,Z4,,,,
24,4,2,BEAT,,,,
25,4,4,CRUZE,,,,
26,4,3,ENJOY,,,,
27,4,2,SAIL U-VA,,,,
28,4,3,SAIL,,,,
29,4,5,TRAILBLAZER,,,,
30,5,1,GO,,,,
31,5,9,GO PLUS,,,,
32,5,1,REDI-GO,,,,
33,5,1,GO GROSS,,,,
34,6,3,ABARTH,,,,
35,6,3,LINEA,,,,
36,6,2,PUNTO PURE,,,,
37,6,2,PUNTO EVO,,,,
38,7,2,ASPIRE,,,,
39,7,9,ECOSPORT,,,,
40,7,5,ENDEAVOUR,,,,
41,7,2,FIGO,,,,
42,7,7,MUSTANG,,,,
43,8,4,ACCORD,,,,
44,8,3,AMAZE,,,,
45,8,3,CITY,,,,
46,8,2,BRIO,,,,
47,8,9,BR-V,,,,
48,8,5,CR-V,,,,
49,8,2,JAZZ,,,,
50,8,9,MOBILIO,,,,
51,8,9,WR-V,,,,
52,9,3,4S VERNA,,,,
53,9,3,XCENT,,,,
54,10,7,F-PACE,,,,
55,10,8,F-TYPE,,,,
56,10,7,XE,,,,
57,10,7,XF,,,,
58,10,8,XJ,,,,
59,11,8,DISCOVERY SPORT,,,,
60,11,7,EVOQUE,,,,
61,11,8,RANGE ROVER,,,,
62,11,8,RANGE ROVER SPORT,,,,
63,12,5,BOLERO,,,,
64,12,3,E20,,,,
65,12,2,KUV100,,,,
66,12,5,NUVOSPORT,,,,
67,12,5,SCORPIO,,,,
68,12,5,THAR,,,,
69,12,9,TUV300,,,,
70,12,3,VERITO,,,,
71,12,3,VERITO VIBE,,,,
72,12,5,XUV500,,,,
73,12,5,XYLO,,,,
74,13,1,ALTO 800,,,,
75,13,1,ALTO K10,,,,
